date,population,admission,release
2021-11-09,105723.72457756937,2609.6642174285703,3037.841132306882
2021-11-10,105413.51194840534,2729.8785031428556,3546.1411323068824
2021-11-11,105094.04931924133,3227.1785031428553,648.1411323068821
2021-11-12,105583.5866900773,1137.6785031428556,2731.1411323068824
2021-11-13,105484.12406091327,2632.0118364761884,1183.07972879811
2021-11-14,106171.66143174925,1872.5118364761888,1261.9744656402152
2021-11-15,106443.69880258522,1533.345169809522,3164.35726133914
2021-11-16,105760.38133471152,2486.8462450783395,3023.8303796187097
2021-11-17,105422.39720017114,2685.8462450783395,3001.3303796187097
2021-11-18,105083.41306563077,2663.6795784116725,2983.7470462853767
2021-11-19,104809.51226442373,2711.0129117450056,2743.9137129520436
2021-11-20,104854.77812988337,2789.6795784116725,1286.58037961871
2021-11-21,105502.54399534299,1933.8462450783397,1644.5278462853767
2021-11-22,105566.94746080264,1708.9313117450063,3186.254036761567
2021-11-23,104647.81521197653,2267.1217879354826,3154.698481206012
2021-11-24,103971.46074092825,2478.3440101577044,2807.781814539345
2021-11-25,103350.0229365466,2185.844010157705,918.2818145393451
2021-11-26,103759.58513216494,1327.8440101577046,1118.2818145393449
2021-11-27,104478.14732778333,1836.8440101577046,1034.6151478726783
2021-11-28,105173.542856735,1730.677343491038,1263.0318145393449
2021-11-29,105593.18838568669,1682.677343491038,3189.3413383488687
2021-11-30,104852.33391463837,2520.867819681514,2945.722290729821
2021-12-01,104630.14611025676,2723.5344863481805,2870.722290729821
2021-12-02,104412.95830587512,2650.6923810850226,2909.515941523472
2021-12-03,104467.00462847759,2965.7289307926253,2587.682608190139
2021-12-04,104773.55095108008,2893.2289307926253,1251.3492748568053
2021-12-05,105512.59727368256,1991.7289307926255,1551.1826081901386
2021-12-06,105725.64359628507,1764.228930792625,3287.6826081901386
2021-12-07,104923.43991888755,2498.978930792625,3014.849274856805
2021-12-08,104596.73624149003,2688.8122641259583,2994.4147510472812
2021-12-09,104290.44923075919,2688.1277403164345,2719.934684602099
2021-12-10,104220.16886454659,2658.3043737605103,2251.235231018723
2021-12-11,104289.20767799897,2356.2497810395394,1024.0443009205137
2021-12-12,105011.41315811798,1746.2497810395394,1433.3776342538467
2021-12-13,105317.11863823702,1728.5831143728728,3169.71096758718
2021-12-14,104536.65745168937,2388.2497810395394,3176.8776342538467
2021-12-15,104178.52959847507,2819.2497810395394,2777.687158063371
2021-12-16,103927.40174526078,2525.290487644762,3241.417475446108
2021-12-17,103372.1053781828,2679.182487929504,2694.249125277757
2021-12-18,103246.64234443815,2567.786091533108,1005.415791944424
2021-12-19,103684.17931069348,1439.9655241572216,1663.924538989341
2021-12-20,103835.92961028217,1817.452616355803,3402.6004649152674
2021-12-21,102813.48414267508,2380.6549973081837,3557.2004649152673
2021-12-22,101752.73867506802,2495.9549973081835,2248.700464915267
2021-12-23,101248.82654079424,1744.7883306415172,2000.700464915267
2021-12-24,101056.9144065205,1808.7883306415172,1163.700464915267
2021-12-25,101309.00227224674,1415.7883306415174,778.0337982486003
2021-12-26,101716.92347130632,1186.6216639748504,1286.8368285516308
2021-12-27,102137.84467036591,1707.7580276112142,2291.586828551631
2021-12-28,101852.76586942551,2004.2302498334363,2176.8873336021356
2021-12-29,101869.19716949518,2196.3085326617193,2291.3772325920345
2021-12-30,101697.62846956486,2120.8085326617193,1800.877232592035
2021-12-31,101910.05976963456,2012.3085326617193,982.3716770364791
2022-01-01,102880.42440303758,1951.6529771061637,1133.8438992587016
2022-01-02,103243.2890364406,1498.1251993283859,1295.0938992587014
2022-01-03,103604.07033651028,1655.8751993283859,2520.093899258701
2022-01-04,103292.35163657996,2208.375199328386,2504.260565925368
2022-01-05,103291.13293664964,2503.5418659950524,2297.877232592035
2022-01-06,103200.64757005266,2206.4827750859613,2406.2408689556714
2022-01-07,102916.91220345568,2123.338835692022,1934.7265832413855
2022-01-08,103363.95064638252,2382.565026168213,686.5265832413855
2022-01-09,103881.48908930933,1203.176137279324,1002.2774604343679
2022-01-10,104248.06261995544,1370.4509910804936,2651.210793767701
2022-01-11,103854.13615060158,2257.2843244138267,2411.293219119814
2022-01-12,103711.47184462799,2273.6201103293197,2628.784416302912
2022-01-13,103505.14087198774,2422.453443662653,2459.6844163029123
2022-01-14,103397.82989934746,2350.773443662653,2434.917749636246
2022-01-15,103598.18559337387,2636.8734436626532,1045.3740918191368
2022-01-16,104031.37462073362,1491.54011032932,1020.3510829695792
2022-01-17,104128.56364809338,1117.54011032932,1172.517749636246
2022-01-18,104487.08600878643,1531.0401103293198,2533.6844163029123
2022-01-19,104112.60836947951,2157.6067769959864,2579.0177496362453
2022-01-20,103972.63073017259,2439.873443662653,2384.851082969579
2022-01-21,103983.65309086566,2395.873443662653,2152.151082969579
2022-01-22,104254.6921182254,2423.6901103293194,1035.9844163029125
2022-01-23,104882.73114558514,1665.0234436626529,1134.4844163029127
